year,cubic meters
1980,3713246844.5123377
1981,3516756036.6183767
1982,3371564069.2968497
1983,3361640877.285666
1984,3456462489.836975
1985,3432844132.243106
1986,3570898364.9600973
1987,3603743550.213488
1988,3737097323.5567613
1989,3802439511.887712
1990,3855363202.614024
1991,3849676227.0754514
1992,3862036694.3174515
1993,3893895363.405988
1994,3983146061.144001
1995,4079882675.6623807
1996,4177373684.8950605
1997,4307013515.0294695
1998,4391911935.569595
1999,4342992339.865339
2000,4510642057.5279665
2001,4507392357.22021
2002,4474373080.878903
2003,4620551564.365285
2004,4846695887.567519
2005,4941807651.932021
2006,4948771295.448641
2007,4951730843.943205
2008,5029375469.153518
2009,4982428905.778971
2010,5140793765.419437
2011,5166443185.705654
2012,5287552552.532204
2013,5320920011.049341
2014,5470406225.206118
2015,5634400030.022518
2016,5663473241.704407
2017,5696666609.133629
2018,5848764189.609138
