Year,population
1950,2536431149
1951,2584034261
1952,2630861562
1953,2677608960
1954,2724846741
1955,2773019936
1956,2822443282
1957,2873306090
1958,2925686705
1959,2979576185
1960,3034949748
1961,3091843507
1962,3150420795
1963,3211001009
1964,3273978338
1965,3339583597
1966,3407922630
1967,3478769962
1968,3551599127
1969,3625680627
1970,3700437046
1971,3775759617
1972,3851650245
1973,3927780238
1974,4003794172
1975,4079480606
1976,4154666864
1977,4229506060
1978,4304533501
1979,4380506100
1980,4458003514
1981,4536996762
1982,4617386542
1983,4699569304
1984,4784011621
1985,4870921740
1986,4960567912
1987,5052522147
1988,5145426008
1989,5237441558
1990,5327231061
1991,5414289444
1992,5498919809
1993,5581597546
1994,5663150427
1995,5744212979
1996,5824891951
1997,5905045788
1998,5984793942
1999,6064239055
2000,6143493823
2001,6222626606
2002,6301773188
2003,6381185114
2004,6461159389
2005,6541907027
2006,6623517833
2007,6705946610
2008,6789088686
2009,6872767093
2010,6956823603
2011,7041194301
2012,7125828059
2013,7210581976
2014,7295290765
2015,7379797139
2016,7464022049
2017,7547858925
2018,7631091040
