,region,year,consumption_exajoules
0,,1965,
1,Canada,1965,1.18088
2,Mexico,1965,0.08863
3,US,1965,2.1230631795423855
4,Total North America,1965,3.3925731795423855
5,,1965,
6,Argentina,1965,0.01225
7,Brazil,1965,0.25515
8,Chile,1965,0.039540000000000006
9,Colombia,1965,0.035439494658615886
10,Ecuador,1965,0.00249
11,Peru,1965,0.02625
12,Trinidad & Tobago,1965,0.0
13,Venezuela,1965,0.013689999999999999
14,Central America,1965,0.013560000000000001
15,Other Caribbean,1965,0.037976951310913325
16,Other South America,1965,0.01100488948679048
17,Total S. & Cent. America,1965,0.44735133545631967
18,,1965,
19,Austria,1965,0.16083000000000003
20,Belgium,1965,0.00272
21,Bulgaria,1965,0.02
22,Croatia,1965,
23,Cyprus,1965,0.0
24,Czech Republic,1965,0.022317970000000006
25,Denmark,1965,0.00025
26,Estonia,1965,
27,Finland,1965,0.09353535353535355
28,France,1965,0.4688109220000001
29,Germany,1965,0.16212209200000002
30,Greece,1965,0.008010000000000001
31,Hungary,1965,0.00075
32,Iceland,1965,0.00640699999999998
33,Ireland,1965,0.009420300000000001
34,Italy,1965,0.4531
35,Latvia,1965,
36,Lithuania,1965,
37,Luxembourg,1965,0.0008641200000000012
38,Netherlands,1965,0.0
39,North Macedonia,1965,
40,Norway,1965,0.4945199999999999
41,Poland,1965,0.00922
42,Portugal,1965,0.04182
43,Romania,1965,0.010050000000000002
44,Slovakia,1965,0.022229582
45,Slovenia,1965,
46,Spain,1965,0.19687000000000002
47,Sweden,1965,0.4642300000000001
48,Switzerland,1965,0.24097281999999998
49,Turkey,1965,0.02279
50,Ukraine,1965,
51,United Kingdom,1965,0.04612
52,Other Europe,1965,0.0940833685
53,Total Europe,1965,3.0520435280353544
54,,1965,
55,Azerbaijan,1965,
56,Belarus,1965,
57,Kazakhstan,1965,
58,Russian Federation,1965,
59,Turkmenistan,1965,
60,USSR,1965,0.81434
61,Uzbekistan,1965,
62,Other CIS,1965,
63,Total CIS,1965,0.81434
64,,1965,
65,Iran,1965,0.017191466000000002
66,Iraq,1965,0.0007071040000000001
67,Israel,1965,0.0
68,Kuwait,1965,0.0
69,Oman,1965,0.0
70,Qatar,1965,0.0
71,Saudi Arabia,1965,0.0
72,United Arab Emirates,1965,0.0
73,Other Middle East,1965,0.00556
74,Total Middle East,1965,0.02345857
75,,1965,
76,Algeria,1965,0.004
77,Egypt,1965,0.017324048
78,Morocco,1965,0.012130000000000002
79,South Africa,1965,0.00037
80,Eastern Africa,1965,0.06047535583314001
81,Middle Africa,1965,0.03935
82,Western Africa,1965,0.004776947914190001
83,Other Northern Africa,1965,0.00042
84,Other Southern Africa,1965,0.00021
85,Total Africa,1965,0.13905635174733
86,,1965,
87,Australia,1965,0.07985756000000001
88,Bangladesh,1965,0.0
